Compounds,delta_S,r,delta_r,mass,delta_mass,specific,delta_specific,vaporization,delta_vaporization,fusion,delta_fusion,electronegativity,delta_electronegativity,density_re,delta_density_re,modulus_re,delta_modulus_re,Tm_re,delta_Tm_re,energy,delta_energy,formation,delta_formation,enthalpy,delta_enthalpy,lambda,delta_lambda,modulus_reo,delta_modulus_reo,Tm_reo,delta_Tm_reo,density_reo,delta_density_reo,CFS,delta_CFS
Yb0.5Tm0.9Er0.1Y0.5Si2O7,9.36263,0.23294,0.28548,32.35564,52.34533,164.25455,234.46077,112.86364,127.15305,11.55091,16.58778,0.56445,0.63204,1.77051,2.56569,25.53636,32.47264,503.69545,548.06171,2.61052,2.81666,-524.02727,639.47462,-495.63636,606.49325,0.26617,0.31953,39.13636,59.37608,746.91818,814.70641,1.90855,2.64751,5.24842,8.44281
Yb0.5Tm0.9Er0.1Y0.5Si1O5,9.98363,0.27029,0.30891,40.97838,57.40821,137.10000,206.72115,110.31250,122.50433,9.60750,14.61305,0.53862,0.58606,2.14320,2.82164,22.61250,28.91771,515.83125,549.13473,2.57050,2.68301,-606.67500,691.61406,-574.50000,656.18050,0.30599,0.34474,49.18750,64.73906,812.88750,852.83245,2.29300,2.90030,4.09158,7.39329
Yb0.5Tm0.9Er0.2Y0.4Si2O7,9.44696,0.23285,0.28531,33.06794,53.35020,163.07273,234.63619,112.00000,126.14025,11.62818,16.57233,0.56464,0.63213,1.81227,2.62742,25.56364,32.47322,503.43182,547.73090,2.60952,2.81599,-524.87273,640.91582,-496.36364,607.73712,0.26553,0.31846,39.00000,59.11468,746.31818,813.85516,1.94155,2.69293,5.24917,8.44238
Yb0.5Tm0.9Er0.2Y0.4Si1O5,10.09958,0.27016,0.30873,41.95779,58.43456,135.47500,206.63047,109.12500,121.00028,9.71375,14.61269,0.53888,0.58621,2.20062,2.88682,22.65000,28.92514,515.46875,548.68990,2.56913,2.68199,-607.83750,693.23034,-575.50000,657.57440,0.30510,0.34354,49.00000,64.45541,812.06250,851.80960,2.33837,2.94782,4.09261,7.39288
Yb0.5Tm0.9Er0.3Y0.3Si2O7,9.47264,0.23275,0.28515,33.78024,54.32120,161.89091,234.80174,111.13636,125.10950,11.70545,16.55628,0.56482,0.63222,1.85404,2.68666,25.59091,32.47376,503.16818,547.39969,2.60852,2.81532,-525.71818,642.35197,-497.09091,608.97703,0.26488,0.31738,38.86364,58.85160,745.71818,813.00229,1.97455,2.73694,5.24993,8.44195
Yb0.5Tm0.9Er0.3Y0.3Si1O5,10.13490,0.27004,0.30854,42.93720,59.41695,133.85000,206.51898,107.93750,119.45813,9.82000,14.61109,0.53913,0.58636,2.25805,2.94874,22.68750,28.93248,515.10625,548.24433,2.56776,2.68098,-609.00000,694.83970,-576.50000,658.96289,0.30421,0.34232,48.81250,64.16962,811.23750,850.78421,2.38375,2.99346,4.09365,7.39247
Yb0.5Tm0.9Er0.4Y0.2Si2O7,9.44696,0.23266,0.28499,34.49254,55.26013,160.70909,234.95744,110.27273,124.06034,11.78273,16.53962,0.56500,0.63231,1.89580,2.74359,25.61818,32.47427,502.90455,547.06807,2.60753,2.81465,-526.56364,643.78310,-497.81818,610.21301,0.26424,0.31630,38.72727,58.58682,745.11818,812.14780,2.00755,2.77962,5.25068,8.44151
Yb0.5Tm0.9Er0.4Y0.2Si1O5,10.09958,0.26991,0.30836,43.91661,60.35755,132.22500,206.38663,106.75000,117.87636,9.92625,14.60822,0.53937,0.58651,2.31548,3.00761,22.72500,28.93974,514.74375,547.79801,2.56639,2.67996,-610.16250,696.44219,-577.50000,660.34600,0.30332,0.34110,48.62500,63.88165,810.41250,849.75629,2.42912,3.03732,4.09469,7.39206
Yb0.5Tm0.9Er0.5Y0.1Si2O7,9.36263,0.23257,0.28482,35.20484,56.16859,159.52727,235.10332,109.40909,122.99232,11.86000,16.52235,0.56518,0.63239,1.93756,2.79834,25.64545,32.47473,502.64091,546.73604,2.60653,2.81398,-527.40909,645.20924,-498.54545,611.44506,0.26359,0.31521,38.59091,58.32032,744.51818,811.29169,2.04055,2.82102,5.25144,8.44108
Yb0.5Tm0.9Er0.5Y0.1Si1O5,9.98363,0.26979,0.30817,44.89602,61.25827,130.60000,206.23340,105.56250,116.25337,10.03250,14.60410,0.53962,0.58666,2.37290,3.06360,22.76250,28.94692,514.38125,547.35093,2.56502,2.67894,-611.32500,698.03786,-578.50000,661.72377,0.30244,0.33987,48.43750,63.59148,809.58750,848.72582,2.47450,3.07946,4.09572,7.39165
Yb0.5Tm1.0Er0.1Y0.4Si2O7,9.30603,0.23273,0.28511,33.08316,53.38272,163.00000,234.66804,111.68182,125.92696,11.60000,16.57345,0.56473,0.63218,1.81458,2.63288,25.57273,32.47396,503.86818,548.28578,2.61022,2.81645,-525.32727,641.73922,-496.81818,608.56108,0.26617,0.31953,39.09091,59.28530,746.99091,814.81278,1.94118,2.69220,5.25021,8.44180
Yb0.5Tm1.0Er0.1Y0.4Si1O5,9.90581,0.27000,0.30849,41.97872,58.47034,135.37500,206.65760,108.68750,120.67252,9.67500,14.60581,0.53900,0.58629,2.20380,2.89299,22.66250,28.92846,516.06875,549.43613,2.57009,2.68270,-608.46250,694.16083,-576.12500,658.50454,0.30599,0.34474,49.12500,64.63991,812.98750,852.96060,2.33788,2.94700,4.09404,7.39234
Yb0.5Tm1.0Er0.2Y0.3Si2O7,9.37127,0.23264,0.28494,33.79546,54.35282,161.81818,234.83297,110.81818,124.89084,11.67727,16.55761,0.56491,0.63226,1.85635,2.69195,25.60000,32.47449,503.60455,547.95525,2.60922,2.81578,-526.17273,643.17255,-497.54545,609.79843,0.26553,0.31846,38.95455,59.02332,746.39091,813.96173,1.97418,2.73623,5.25096,8.44136
Yb0.5Tm1.0Er0.2Y0.3Si1O5,9.99550,0.26987,0.30831,42.95814,59.45158,133.75000,206.54485,107.50000,119.11903,9.78125,14.60466,0.53925,0.58644,2.26122,2.95468,22.70000,28.93577,515.70625,548.99181,2.56872,2.68168,-609.62500,695.76634,-577.12500,659.88953,0.30510,0.34354,48.93750,64.35553,812.16250,851.93806,2.38325,2.99267,4.09507,7.39193
Yb0.5Tm1.0Er0.3Y0.2Si2O7,9.37127,0.23255,0.28478,34.50776,55.29088,160.63636,234.98806,109.95455,123.83621,11.75455,16.54117,0.56509,0.63235,1.89811,2.74871,25.62727,32.47499,503.34091,547.62431,2.60822,2.81511,-527.01818,644.60088,-498.27273,611.03186,0.26488,0.31738,38.81818,58.75966,745.79091,813.10906,2.00718,2.77892,5.25172,8.44093
Yb0.5Tm1.0Er0.3Y0.2Si1O5,9.99550,0.26975,0.30812,43.93755,60.39109,132.12500,206.41124,106.31250,117.52552,9.88750,14.60225,0.53950,0.58659,2.31865,3.01333,22.73750,28.94300,515.34375,548.54673,2.56735,2.68067,-610.78750,697.36500,-578.12500,661.26917,0.30421,0.34232,48.75000,64.06899,811.33750,850.91299,2.42862,3.03655,4.09611,7.39152
Yb0.5Tm1.0Er0.4Y0.1Si2O7,9.30603,0.23245,0.28461,35.22006,56.19853,159.45455,235.13332,109.09091,122.76257,11.83182,16.52412,0.56527,0.63244,1.93987,2.80330,25.65455,32.47544,503.07727,547.29296,2.60723,2.81444,-527.86364,646.02425,-499.00000,612.26138,0.26424,0.31630,38.68182,58.49429,745.19091,812.25478,2.04018,2.82033,5.25247,8.44050
Yb0.5Tm1.0Er0.4Y0.1Si1O5,9.90581,0.26962,0.30794,44.91696,61.29077,130.50000,206.25674,105.12500,115.89033,9.99375,14.59859,0.53975,0.58674,2.37608,3.06912,22.77500,28.95016,514.98125,548.10091,2.56598,2.67965,-611.95000,698.95687,-579.12500,662.64348,0.30332,0.34110,48.56250,63.78027,810.51250,849.88538,2.47400,3.07872,4.09715,7.39111
Yb0.5Tm1.1Er0.1Y0.3Si2O7,9.22277,0.23252,0.28473,33.81069,54.38440,161.74545,234.86417,110.50000,124.67047,11.64909,16.55886,0.56500,0.63231,1.85865,2.69722,25.60909,32.47522,504.04091,548.50968,2.60992,2.81625,-526.62727,643.99156,-498.00000,610.61817,0.26617,0.31953,39.04545,59.19432,747.06364,814.91913,1.97382,2.73551,5.25200,8.44078
Yb0.5Tm1.1Er0.1Y0.3Si1O5,9.79132,0.26971,0.30807,42.97908,59.48618,133.65000,206.57063,107.06250,118.77635,9.74250,14.59806,0.53937,0.58652,2.26440,2.96060,22.71250,28.93905,516.30625,549.73720,2.56967,2.68239,-610.25000,696.69083,-577.75000,660.81391,0.30599,0.34474,49.06250,64.54051,813.08750,853.08871,2.38275,2.99187,4.09650,7.39139
Yb0.5Tm1.1Er0.2Y0.2Si2O7,9.26232,0.23243,0.28457,34.52299,55.32162,160.56364,235.01863,109.63636,123.61032,11.72636,16.54263,0.56518,0.63240,1.90042,2.75382,25.63636,32.47570,503.77727,548.17941,2.60892,2.81558,-527.47273,645.41710,-498.72727,611.84906,0.26553,0.31846,38.90909,58.93177,746.46364,814.06828,2.00682,2.77822,5.25275,8.44035
Yb0.5Tm1.1Er0.2Y0.2Si1O5,9.84570,0.26959,0.30789,43.95849,60.42460,132.02500,206.43576,105.87500,117.17097,9.84875,14.59611,0.53962,0.58667,2.32183,3.01904,22.75000,28.94626,515.94375,549.29338,2.56830,2.68137,-611.41250,698.28569,-578.75000,662.19009,0.30510,0.34354,48.87500,64.25540,812.26250,852.06648,2.42812,3.03578,4.09754,7.39098
Yb0.5Tm1.1Er0.3Y0.1Si2O7,9.22277,0.23234,0.28440,35.23529,56.22845,159.38182,235.16328,108.77273,122.53103,11.80364,16.52580,0.56536,0.63249,1.94218,2.80825,25.66364,32.47614,503.51364,547.84875,2.60792,2.81491,-528.31818,646.83770,-499.45455,613.07606,0.26488,0.31738,38.77273,58.66752,745.86364,813.21581,2.03982,2.81965,5.25351,8.43991
Yb0.5Tm1.1Er0.3Y0.1Si1O5,9.79132,0.26946,0.30770,44.93790,61.32325,130.40000,206.28000,104.68750,115.52346,9.95500,14.59290,0.53988,0.58682,2.37925,3.07463,22.78750,28.95338,515.58125,548.84880,2.56693,2.68035,-612.57500,699.87378,-579.75000,663.56096,0.30421,0.34232,48.68750,63.96811,811.43750,851.04172,2.47350,3.07797,4.09858,7.39057
Yb0.5Tm1.2Er0.1Y0.2Si2O7,9.10694,0.23231,0.28436,34.53822,55.35232,160.49091,235.04917,109.31818,123.38268,11.69818,16.54402,0.56527,0.63244,1.90273,2.75891,25.64545,32.47641,504.21364,548.73339,2.60962,2.81604,-527.92727,646.23177,-499.18182,612.66461,0.26617,0.31953,39.00000,59.10315,747.13636,815.02546,2.00645,2.77752,5.25379,8.43976
Yb0.5Tm1.2Er0.1Y0.2Si1O5,9.63206,0.26942,0.30765,43.97942,60.45808,131.92500,206.46020,105.43750,116.81269,9.81000,14.58979,0.53975,0.58674,2.32500,3.02473,22.76250,28.94951,516.54375,550.03794,2.56926,2.68207,-612.03750,699.20425,-579.37500,663.10877,0.30599,0.34474,49.00000,64.44086,813.18750,853.21679,2.42762,3.03501,4.09896,7.39043
Yb0.5Tm1.2Er0.2Y0.1Si2O7,9.10694,0.23222,0.28419,35.25052,56.25835,159.30909,235.19320,108.45455,122.29770,11.77545,16.52741,0.56545,0.63253,1.94449,2.81319,25.67273,32.47684,503.95000,548.40340,2.60862,2.81537,-528.77273,647.64961,-499.90909,613.88911,0.26553,0.31846,38.86364,58.84001,746.53636,814.17480,2.03945,2.81897,5.25455,8.43933
Yb0.5Tm1.2Er0.2Y0.1Si1O5,9.63206,0.26930,0.30747,44.95884,61.35569,130.30000,206.30318,104.25000,115.15272,9.91625,14.58704,0.54000,0.58689,2.38242,3.08012,22.80000,28.95661,516.18125,549.59462,2.56789,2.68106,-613.20000,700.78857,-580.37500,664.47622,0.30510,0.34354,48.81250,64.15501,812.36250,852.19486,2.47300,3.07722,4.10000,7.39003
Yb0.5Tm1.3Er0.1Y0.1Si2O7,8.94526,0.23210,0.28399,35.26575,56.28822,159.23636,235.22308,108.13636,122.06257,11.74727,16.52893,0.56555,0.63258,1.94680,2.81812,25.68182,32.47754,504.38636,548.95692,2.60932,2.81583,-529.22727,648.45998,-500.36364,614.70053,0.26617,0.31953,38.95455,59.01177,747.20909,815.13176,2.03909,2.81829,5.25558,8.43875
Yb0.5Tm1.3Er0.1Y0.1Si1O5,9.40974,0.26914,0.30723,44.97978,61.38811,130.20000,206.32628,103.81250,114.77807,9.87750,14.58102,0.54012,0.58697,2.38560,3.08560,22.81250,28.95982,516.78125,550.33835,2.56885,2.68176,-613.82500,701.70127,-581.00000,665.38927,0.30599,0.34474,48.93750,64.34096,813.28750,853.34482,2.47250,3.07648,4.10142,7.38948
Yb0.6Tm0.1Er0.1Y1.2Si2O7,9.00739,0.23432,0.28792,27.30032,43.96828,172.98182,232.72458,120.31818,134.90675,11.12455,16.71100,0.56118,0.63054,1.43700,1.91860,25.15455,32.47430,495.88545,542.06021,2.61325,2.81853,-513.60000,620.85369,-486.09091,589.39440,0.26572,0.31876,39.36364,59.83848,745.78182,813.06464,1.68527,2.30329,5.23662,8.44950
Yb0.6Tm0.1Er0.1Y1.2Si1O5,9.49518,0.27219,0.31166,34.02731,48.52823,149.10000,206.54185,120.56250,133.66674,9.02125,14.66890,0.53412,0.58345,1.68463,2.10174,22.08750,28.82653,505.09250,541.11335,2.57426,2.68584,-592.33750,670.56082,-561.37500,636.86551,0.30536,0.34388,49.50000,65.24545,811.32500,850.85606,1.98600,2.52939,4.07535,7.39952
Yb0.6Tm0.1Er0.2Y1.1Si2O7,9.16277,0.23423,0.28776,28.01262,45.29022,171.80000,232.97376,119.45455,134.03121,11.20182,16.69889,0.56136,0.63063,1.47876,2.01176,25.18182,32.47540,495.62182,541.71952,2.61225,2.81786,-514.44545,622.36120,-486.81818,590.69351,0.26507,0.31769,39.22727,59.57995,745.18182,812.21030,1.71827,2.36047,5.23737,8.44907
Yb0.6Tm0.1Er0.2Y1.1Si1O5,9.70882,0.27206,0.31148,35.00672,49.96008,147.47500,206.60452,119.37500,132.43910,9.12750,14.67545,0.53438,0.58361,1.74205,2.20793,22.12500,28.83508,504.73000,540.65023,2.57289,2.68483,-593.50000,672.26801,-562.37500,638.33501,0.30448,0.34266,49.31250,64.96548,810.50000,849.82836,2.03137,2.59248,4.07639,7.39912
Yb0.6Tm0.1Er0.3Y1.0Si2O7,9.27172,0.23414,0.28760,28.72492,46.55683,170.61818,233.21287,118.59091,133.14074,11.27909,16.68619,0.56155,0.63072,1.52053,2.09942,25.20909,32.47647,495.35818,541.37841,2.61126,2.81719,-515.29091,623.86319,-487.54545,591.98831,0.26443,0.31660,39.09091,59.31979,744.58182,811.35433,1.75127,2.41556,5.23813,8.44864
Yb0.6Tm0.1Er0.3Y1.0Si1O5,9.85863,0.27194,0.31130,35.98614,51.32166,145.85000,206.64641,118.18750,131.18250,9.23375,14.68074,0.53462,0.58376,1.79948,2.30692,22.16250,28.84356,504.36750,540.18632,2.57152,2.68382,-594.66250,673.96762,-563.37500,639.79859,0.30359,0.34144,49.12500,64.68341,809.67500,848.79812,2.07675,2.65281,4.07742,7.39871
Yb0.6Tm0.1Er0.4Y0.9Si2O7,9.34741,0.23405,0.28744,29.43722,47.77250,169.43636,233.44194,117.72727,132.23505,11.35636,16.67290,0.56173,0.63081,1.56229,2.18227,25.23636,32.47750,495.09455,541.03687,2.61026,2.81653,-516.13636,625.35970,-488.27273,593.27882,0.26378,0.31552,38.95455,59.05797,743.98182,810.49673,1.78427,2.46869,5.23888,8.44821
Yb0.6Tm0.1Er0.4Y0.9Si1O5,9.96271,0.27181,0.31112,36.96555,52.61842,144.22500,206.66753,117.00000,129.89611,9.34000,14.68478,0.53488,0.58392,1.85690,2.39961,22.20000,28.85195,504.00500,539.72161,2.57015,2.68281,-595.82500,675.65971,-564.37500,641.25630,0.30270,0.34021,48.93750,64.39922,808.85000,847.76531,2.12212,2.71057,4.07846,7.39831
Yb0.6Tm0.1Er0.5Y0.8Si2O7,9.39559,0.23395,0.28727,30.14952,48.94103,168.25455,233.66101,116.86364,131.31383,11.43364,16.65900,0.56191,0.63090,1.60405,2.26082,25.26364,32.47849,494.83091,540.69491,2.60927,2.81586,-516.98182,626.85077,-489.00000,594.56508,0.26314,0.31442,38.81818,58.79446,743.38182,809.63749,1.81727,2.52000,5.23964,8.44777
Yb0.6Tm0.1Er0.5Y0.8Si1O5,10.02895,0.27169,0.31093,37.94496,53.85504,142.60000,206.66789,115.81250,128.57903,9.44625,14.68758,0.53513,0.58407,1.91432,2.48669,22.23750,28.86026,503.64250,539.25610,2.56878,2.68179,-596.98750,677.34432,-565.37500,642.70818,0.30181,0.33898,48.75000,64.11288,808.02500,846.72994,2.16750,2.76591,4.07950,7.39790
Yb0.6Tm0.1Er0.6Y0.7Si2O7,9.41909,0.23386,0.28711,30.86182,50.06573,167.07273,233.87010,116.00000,130.37673,11.51091,16.64451,0.56209,0.63099,1.64582,2.33551,25.29091,32.47945,494.56727,540.35252,2.60827,2.81519,-517.82727,628.33645,-489.72727,595.84711,0.26249,0.31332,38.68182,58.52925,742.78182,808.77661,1.85027,2.56960,5.24039,8.44734
Yb0.6Tm0.1Er0.6Y0.7Si1O5,10.06125,0.27156,0.31075,38.92437,55.03559,140.97500,206.64748,114.62500,127.23031,9.55250,14.68912,0.53537,0.58422,1.97175,2.56874,22.27500,28.86849,503.28000,538.78980,2.56741,2.68078,-598.15000,679.02152,-566.37500,644.15426,0.30092,0.33773,48.56250,63.82436,807.20000,845.69200,2.21288,2.81898,4.08054,7.39750
Yb0.6Tm0.1Er0.7Y0.6Si2O7,9.41909,0.23377,0.28695,31.57412,51.14948,165.89091,234.06924,115.13636,129.42341,11.58818,16.62942,0.56227,0.63108,1.68758,2.40670,25.31818,32.48036,494.30364,540.00970,2.60727,2.81452,-518.67273,629.81676,-490.45455,597.12494,0.26185,0.31222,38.54545,58.26231,742.18182,807.91409,1.88327,2.61757,5.24115,8.44691
Yb0.6Tm0.1Er0.7Y0.6Si1O5,10.06125,0.27144,0.31057,39.90379,56.16359,139.35000,206.60630,113.43750,125.84894,9.65875,14.68942,0.53562,0.58438,2.02918,2.64622,22.31250,28.87664,502.91750,538.32269,2.56604,2.67976,-599.31250,680.69136,-567.37500,645.59458,0.30004,0.33648,48.37500,63.53362,806.37500,844.65147,2.25825,2.86990,4.08158,7.39709
Yb0.6Tm0.1Er0.8Y0.5Si2O7,9.39559,0.23368,0.28679,32.28642,52.19484,164.70909,234.25846,114.27273,128.45352,11.66545,16.61373,0.56245,0.63117,1.72935,2.47469,25.34545,32.48124,494.04000,539.66645,2.60628,2.81384,-519.51818,631.29175,-491.18182,598.39859,0.26120,0.31111,38.40909,57.99361,741.58182,807.04991,1.91627,2.66401,5.24190,8.44648
Yb0.6Tm0.1Er0.8Y0.5Si1O5,10.02895,0.27131,0.31039,40.88320,57.24215,137.72500,206.54434,112.25000,124.43381,9.76500,14.68847,0.53588,0.58453,2.08660,2.71953,22.35000,28.88470,502.55500,537.85479,2.56467,2.67874,-600.47500,682.35390,-568.37500,647.02919,0.29915,0.33522,48.18750,63.24065,805.55000,843.60835,2.30362,2.91879,4.08261,7.39669
Yb0.6Tm0.1Er0.9Y0.4Si2O7,9.34741,0.23359,0.28662,32.99872,53.20406,163.52727,234.43777,113.40909,127.46668,11.74273,16.59743,0.56264,0.63126,1.77111,2.53973,25.37273,32.48209,493.77636,539.32277,2.60528,2.81317,-520.36364,632.76145,-491.90909,599.66809,0.26055,0.30999,38.27273,57.72314,740.98182,806.18408,1.94927,2.70899,5.24265,8.44605
Yb0.6Tm0.1Er0.9Y0.4Si1O5,9.96271,0.27119,0.31020,41.86261,58.27402,136.10000,206.46158,111.06250,122.98378,9.87125,14.68626,0.53612,0.58469,2.14402,2.78899,22.38750,28.89268,502.19250,537.38607,2.56330,2.67772,-601.63750,684.00919,-569.37500,648.45812,0.29826,0.33394,48.00000,62.94541,804.72500,842.56262,2.34900,2.96574,4.08365,7.39628
Yb0.6Tm0.1Er1.0Y0.3Si2O7,9.27172,0.23350,0.28646,33.71102,54.17918,162.34545,234.60721,112.54545,126.46249,11.82000,16.58053,0.56282,0.63135,1.81287,2.60206,25.40000,32.48289,493.51273,538.97866,2.60428,2.81250,-521.20909,634.22590,-492.63636,600.93347,0.25991,0.30887,38.13636,57.45086,740.38182,805.31658,1.98227,2.75260,5.24341,8.44562
Yb0.6Tm0.1Er1.0Y0.3Si1O5,9.85863,0.27106,0.31002,42.84202,59.26163,134.47500,206.35799,109.87500,121.49758,9.97750,14.68281,0.53638,0.58484,2.20145,2.85489,22.42500,28.90059,501.83000,536.91655,2.56193,2.67670,-602.80000,685.65727,-570.37500,649.88140,0.29738,0.33266,47.81250,62.64787,803.90000,841.51428,2.39437,3.01086,4.08469,7.39588
Yb0.6Tm0.1Er1.1Y0.2Si2O7,9.16277,0.23341,0.28630,34.42332,55.12199,161.16364,234.76679,111.68182,125.44053,11.89727,16.56302,0.56300,0.63144,1.85464,2.66185,25.42727,32.48366,493.24909,538.63413,2.60329,2.81183,-522.05455,635.68514,-493.36364,602.19476,0.25926,0.30774,38.00000,57.17676,739.78182,804.44742,2.01527,2.79488,5.24416,8.44518
Yb0.6Tm0.1Er1.1Y0.2Si1O5,9.70882,0.27094,0.30984,43.82144,60.20717,132.85000,206.23355,108.68750,119.97388,10.08375,14.67811,0.53662,0.58499,2.25888,2.91746,22.46250,28.90841,501.46750,536.44623,2.56056,2.67567,-603.96250,687.29822,-571.37500,651.29908,0.29649,0.33138,47.62500,62.34799,803.07500,840.46332,2.43975,3.05421,4.08572,7.39547
Yb0.6Tm0.1Er1.2Y0.1Si2O7,9.00739,0.23332,0.28614,35.13562,56.03412,159.98182,234.91653,110.81818,124.40036,11.97455,16.54490,0.56318,0.63153,1.89640,2.71929,25.45455,32.48439,492.98545,538.28916,2.60229,2.81115,-522.90000,637.13920,-494.09091,603.45197,0.25862,0.30660,37.86364,56.90080,739.18182,803.57658,2.04827,2.83591,5.24492,8.44475
Yb0.6Tm0.1Er1.2Y0.1Si1O5,9.49518,0.27081,0.30965,44.80085,61.11259,131.22500,206.08821,107.50000,118.41123,10.19000,14.67215,0.53688,0.58515,2.31630,2.97692,22.50000,28.91615,501.10500,535.97509,2.55919,2.67465,-605.12500,688.93206,-572.37500,652.71119,0.29560,0.33008,47.43750,62.04574,802.25000,839.40972,2.48512,3.09587,4.08676,7.39507
Yb0.6Tm0.2Er0.1Y1.1Si2O7,9.16277,0.23411,0.28755,28.02785,45.33130,171.72727,233.01030,119.13636,133.85949,11.17364,16.69882,0.56145,0.63068,1.48107,2.01951,25.19091,32.47632,496.05818,542.29084,2.61295,2.81833,-514.90000,623.22155,-487.27273,591.55321,0.26572,0.31876,39.31818,59.74868,745.85455,813.17140,1.71791,2.35958,5.23841,8.44849
Yb0.6Tm0.2Er0.1Y1.1Si1O5,9.70882,0.27190,0.31125,35.02766,50.00666,147.37500,206.64109,118.93750,132.19485,9.08875,14.66607,0.53450,0.58369,1.74523,2.21706,22.13750,28.83879,505.33000,541.42688,2.57385,2.68553,-594.12500,673.24910,-563.00000,639.31399,0.30536,0.34388,49.43750,65.14756,811.42500,850.98480,2.03088,2.59145,4.07781,7.39858
Yb0.6Tm0.2Er0.2Y1.0Si2O7,9.31127,0.23402,0.28739,28.74015,46.59641,170.54545,233.24877,118.27273,132.96449,11.25091,16.68633,0.56164,0.63077,1.52284,2.10678,25.21818,32.47738,495.79455,541.95043,2.61195,2.81766,-515.74545,624.72047,-488.00000,592.84522,0.26507,0.31769,39.18182,59.48960,745.25455,812.31725,1.75091,2.41469,5.23916,8.44806
Yb0.6Tm0.2Er0.2Y1.0Si1O5,9.91300,0.27178,0.31107,36.00707,51.36635,145.75000,206.68170,117.75000,130.92946,9.19500,14.67183,0.53475,0.58384,1.80265,2.31553,22.17500,28.84723,504.96750,540.96428,2.57247,2.68452,-595.28750,674.94449,-564.00000,640.77375,0.30448,0.34266,49.25000,64.86687,810.60000,849.95742,2.07625,2.65182,4.07885,7.39818
Yb0.6Tm0.2Er0.3Y0.9Si2O7,9.41264,0.23393,0.28723,29.45245,47.81071,169.36364,233.47720,117.40909,132.05419,11.32818,16.67325,0.56182,0.63086,1.56460,2.18928,25.24545,32.47839,495.53091,541.60960,2.61096,2.81699,-516.59091,626.21393,-488.72727,594.13296,0.26443,0.31660,39.04545,59.22887,744.65455,811.46148,1.78391,2.46785,5.23992,8.44763
Yb0.6Tm0.2Er0.3Y0.9Si1O5,10.05240,0.27165,0.31088,36.98649,52.66138,144.12500,206.70154,116.56250,129.63405,9.30125,14.67633,0.53500,0.58400,1.86008,2.40776,22.21250,28.85560,504.60500,540.50090,2.57111,2.68351,-596.45000,676.63239,-565.00000,642.22767,0.30359,0.34144,49.06250,64.58408,809.77500,848.92749,2.12162,2.70961,4.07989,7.39777
Yb0.6Tm0.2Er0.4Y0.8Si2O7,9.47992,0.23384,0.28707,30.16475,48.97797,168.18182,233.69564,116.54545,131.12826,11.40545,16.65957,0.56200,0.63095,1.60636,2.26752,25.27273,32.47937,495.26727,541.26835,2.60996,2.81632,-517.43636,627.70197,-489.45455,595.41647,0.26378,0.31552,38.90909,58.96647,744.05455,810.60408,1.81691,2.51919,5.24067,8.44719
Yb0.6Tm0.2Er0.4Y0.8Si1O5,10.14491,0.27152,0.31070,37.96590,53.89640,142.50000,206.70061,115.37500,128.30770,9.40750,14.67958,0.53525,0.58415,1.91750,2.49444,22.25000,28.86388,504.24250,540.03672,2.56973,2.68250,-597.61250,678.31284,-566.00000,643.67577,0.30270,0.34021,48.87500,64.29915,808.95000,847.89500,2.16700,2.76499,4.08093,7.39737
Yb0.6Tm0.2Er0.5Y0.7Si2O7,9.51863,0.23375,0.28691,30.87705,50.10148,167.00000,233.90410,115.68182,130.18637,11.48273,16.64530,0.56218,0.63104,1.64813,2.34192,25.30000,32.48032,495.00364,540.92666,2.60897,2.81565,-518.28182,629.18463,-490.18182,596.69576,0.26314,0.31442,38.77273,58.70238,743.45455,809.74505,1.84991,2.56880,5.24143,8.44676
Yb0.6Tm0.2Er0.5Y0.7Si1O5,10.19813,0.27140,0.31052,38.94531,55.07545,140.87500,206.67893,114.18750,126.94945,9.51375,14.68158,0.53550,0.58430,1.97492,2.57613,22.28750,28.87208,503.88000,539.57174,2.56836,2.68148,-598.77500,679.98592,-567.00000,645.11811,0.30181,0.33898,48.68750,64.01206,808.12500,846.85995,2.21237,2.81809,4.08196,7.39696
